"","X","Name","Genre","Platform","Global_Sales","NA_Sales","JP_Sales","PAL_Sales","Other_Sales","Year","Total_Sales"
"107",6556,"Far Cry: Primal","Action-Adventure","PS4",2.73,0.63,0.00999999999999979,1.61,0.41,2016,2.72
"108",783,"Far Cry: Primal","Action-Adventure","XOne",1,0.51,0.01,0.41,0.09,2016,1.01
"109",4785,"Farming Simulator 17","Simulation","PC",1.12,0.11,0,0.94,0.07,2016,1.12
"110",4793,"Farming Simulator 17","Simulation","PS4",0.85,0.19,0.01,0.52,0.13,2016,0.85
"111",4827,"Farming Simulator 17","Simulation","XOne",0.33,0.19,0,0.11,0.03,2016,0.33
"112",5386,"Farming Simulator 19","Simulation","PC",0.58,0,0,0.55,0.03,2018,0.58
"113",6679,"Farming Simulator 19","Simulation","PS4",0.47,0.13,0.00999999999999995,0.26,0.07,2018,0.46
"114",6685,"Farming Simulator 19","Simulation","XOne",0.32,0.19,0.01,0.09,0.03,2018,0.31
"115",4334,"Farming Simulator 2015","Simulation","PC",1.1,0.09,0,0.94,0.07,2014,1.1
"116",746,"Farming Simulator 2015","Simulation","PS4",0.41,0.13,0.01,0.22,0.07,2015,0.42
"117",4604,"Farming Simulator 2015","Simulation","XOne",0.24,0.13,0,0.09,0.02,2015,0.24
"118",4234,"FIFA 14","Sports","PC",0.38,0.01,0,0.35,0.02,2013,0.38
"119",4190,"FIFA 14","Sports","PS4",3.43,0.62,0.12,2.18,0.51,2013,3.43
"120",666,"FIFA 14","Sports","XOne",1.31,0.44,0.01,0.78,0.1,2013,1.32
"121",4397,"FIFA 15","Sports","PC",0.3,0,0,0.28,0.02,2014,0.3
"122",6473,"FIFA 15","Sports","PS4",6.32,0.83,0.0100000000000007,4.49,0.94,2014,6.31
"123",4321,"FIFA 15","Sports","XOne",2.19,0.64,0,1.39,0.16,2014,2.19
"124",753,"FIFA 16","Sports","PC",0.21,0.07,0.01,0.13,0.02,2015,0.22
"125",4517,"FIFA 16","Sports","PS4",8.22,1.15,0.07,5.77,1.23,2015,8.22
"126",728,"FIFA 16","Sports","XOne",3.25,0.92,0.00999999999999979,2.1,0.24,2015,3.26
"127",4849,"FIFA 17","Sports","PC",0.19,0,0,0.18,0.01,2016,0.19
"128",4767,"FIFA 17","Sports","PS4",10.94,1.26,0.12,7.95,1.61,2016,10.94
"129",4773,"FIFA 17","Sports","XOne",3.71,1.04,0,2.4,0.27,2016,3.71
"130",5188,"FIFA 18","Sports","PC",0.08,0,0,0.08,0,2017,0.08
"131",6602,"FIFA 18","Sports","PS4",11.8,1.27,0.0100000000000016,8.64,1.73,2017,11.79
"132",6606,"FIFA 18","Sports","XOne",3.14,0.98,0.0100000000000002,1.92,0.23,2017,3.13
"133",5246,"For Honor","Action","PC",0.04,0.02,0,0.02,0,2017,0.04
"134",6611,"For Honor","Action","PS4",1.75,0.73,0.01,0.66,0.28,2017,1.74
"135",6614,"For Honor","Action","XOne",0.87,0.57,0.01,0.21,0.08,2017,0.86
"136",5318,"Fortnite","Action","PC",0.02,0,0,0.02,0,2017,0.02
"137",5065,"Fortnite","Action","PS4",0.89,0.42,0,0.32,0.15,2017,0.89
"138",5066,"Fortnite","Action","XOne",0.77,0.6,0,0.09,0.08,2017,0.77
"139",5336,"Has-Been Heroes","Action","PC",0.01,0.01,0,0,0,2017,0.01
"140",5198,"Has-Been Heroes","Action","PS4",0.07,0.06,0,0,0.01,2017,0.07
"141",5237,"Has-Been Heroes","Action","XOne",0.05,0.04,0,0,0.01,2017,0.05
"142",4905,"Homefront: The Revolution","Shooter","PC",0.08,0.04,0,0.03,0.01,2016,0.08
"143",791,"Homefront: The Revolution","Shooter","PS4",0.5,0.11,0.01,0.29,0.07,2016,0.51
"144",4845,"Homefront: The Revolution","Shooter","XOne",0.21,0.1,0,0.09,0.02,2016,0.21
"145",4622,"Just Cause 3","Action-Adventure","PC",0.16,0.03,0,0.12,0.01,2015,0.16
"146",730,"Just Cause 3","Action-Adventure","PS4",1.98,0.53,0.01,1.07,0.3,2015,1.99
"147",734,"Just Cause 3","Action-Adventure","XOne",1.01,0.52,0.01,0.41,0.09,2015,1.02
"148",5339,"Le Tour de France 2017","Simulation","PC",0.01,0,0,0.01,0,2017,0.01
"149",5206,"Le Tour de France 2017","Simulation","PS4",0.07,0,0,0.06,0.01,2017,0.07
"150",6666,"Le Tour de France 2017","Simulation","XOne",0.02,0,0.01,0.01,0,2017,0.01
"151",4465,"LEGO The Hobbit","Action-Adventure","PC",0.05,0,0,0.05,0,2014,0.05
"152",700,"LEGO The Hobbit","Action-Adventure","PS4",0.62,0.14,0.01,0.39,0.1,2014,0.63
"153",710,"LEGO The Hobbit","Action-Adventure","XOne",0.27,0.13,0.01,0.13,0.02,2014,0.28
"154",4934,"Life is Strange","Adventure","PC",0.05,0.01,0,0.04,0,2016,0.05
"155",4820,"Life is Strange","Adventure","PS4",0.37,0.11,0.05,0.16,0.05,2016,0.37
"156",4875,"Life is Strange","Adventure","XOne",0.12,0.08,0,0.03,0.01,2016,0.12
"157",5152,"Mass Effect: Andromeda","Role-Playing","PC",0.13,0.04,0,0.08,0.01,2017,0.13
"158",830,"Mass Effect: Andromeda","Role-Playing","PS4",1.49,0.58,0.01,0.67,0.25,2017,1.5
"159",6616,"Mass Effect: Andromeda","Role-Playing","XOne",0.78,0.5,0.01,0.2,0.07,2017,0.77
"160",4388,"Middle-Earth: Shadow of Mordor","Action","PC",0.37,0.14,0,0.2,0.03,2014,0.37
"161",4318,"Middle-Earth: Shadow of Mordor","Action","PS4",3.19,1.03,0.05,1.6,0.51,2014,3.19
"162",4326,"Middle-Earth: Shadow of Mordor","Action","XOne",1.42,0.77,0.01,0.52,0.12,2014,1.42
"163",862,"Middle-Earth: Shadow of War","Action","PC",0.07,0.03,0.01,0.04,0.01,2017,0.08
"164",829,"Middle-Earth: Shadow of War","Action","PS4",2.04,0.82,0.00999999999999979,0.84,0.33,2017,2.05
"165",5062,"Middle-Earth: Shadow of War","Action","XOne",1.15,0.75,0,0.29,0.11,2017,1.15
"166",5298,"Minecraft: Story Mode - Season Two","Adventure","PC",0.02,0,0,0.02,0,2017,0.02
"167",5168,"Minecraft: Story Mode - Season Two","Adventure","PS4",0.11,0.09,0,0,0.02,2017,0.11
"168",5111,"Minecraft: Story Mode - Season Two","Adventure","XOne",0.27,0.17,0,0.08,0.02,2017,0.27
"169",4902,"Mirror's Edge Catalyst","Platform","PC",0.08,0.01,0,0.06,0.01,2016,0.08
"170",6569,"Mirror's Edge Catalyst","Platform","PS4",0.42,0.13,0.01,0.19,0.06,2016,0.41
"171",4851,"Mirror's Edge Catalyst","Platform","XOne",0.19,0.11,0,0.06,0.02,2016,0.19
"172",4688,"Mortal Kombat X","Fighting","PC",0.05,0.01,0,0.04,0,2015,0.05
"173",4526,"Mortal Kombat X","Fighting","PS4",3.49,1.94,0,0.94,0.61,2015,3.49
"174",731,"Mortal Kombat X","Fighting","XOne",1.74,1.34,0.01,0.23,0.18,2015,1.75
"175",4758,"MX vs. ATV Supercross Encore","Sports","PC",0.01,0,0,0.01,0,2015,0.01
"176",4676,"MX vs. ATV Supercross Encore","Sports","PS4",0.06,0,0,0.05,0.01,2015,0.06
"177",4678,"MX vs. ATV Supercross Encore","Sports","XOne",0.06,0.05,0,0,0.01,2015,0.06
