"","Year","Genre","Sales"
"243",2017,"Adventure",5.21
"244",2017,"Misc",2.38
"245",2017,"Action",31.01
"246",2017,"MMO",0.81
"247",2017,"Action-Adventure",0.65
"248",2017,"Music",0.96
"249",2017,"Visual Novel",0.28
"250",2017,"Party",0.67
"251",2018,"Racing",6.04
"252",2018,"Sports",24.9
"253",2018,"Strategy",0.55
"254",2018,"Simulation",3.85
"255",2018,"Role-Playing",10.43
"256",2018,"Puzzle",0.74
"257",2018,"Shooter",20.49
"258",2018,"Platform",5.35
"259",2018,"Fighting",6.16
"260",2018,"Adventure",1.33
"261",2018,"Misc",0.62
"262",2018,"Action",23.92
"263",2018,"MMO",0.23
"264",2018,"Action-Adventure",33.99
"265",2018,"Music",0.62
"266",2018,"Visual Novel",0.09
"267",2018,"Party",0.11
"268",2019,"Role-Playing",0.38
"269",2019,"Platform",0.14
"270",2019,"Adventure",0.15
"271",2019,"Misc",0.01
"272",2019,"Action",0.16
"273",2019,"Action-Adventure",0.25
"274",2019,"Visual Novel",0.03
"275",2020,"Sports",0.03
"276",2020,"Role-Playing",0.02
"277",2020,"Misc",0.15
"278",2020,"Action",0.38
